Gene Symbol,Gene stable ID,Cardiomyocytes-specific ennhancer (GFP+ only),X30kGFPpos1,X30kGFPpos2,X30kGFPpos3,X500kGFPneg4,X500kGFPneg5,X500kGFPneg6,ucsc_url
adcy8,ENSDARG00000031783,chr2:42789739-42790287 (+138439); chr2:42789739-42790287 (-13144); chr2:42761387-42761683 (+15334),1,0,0,223,201,231,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A42776224%2D42871286
asb7,ENSDARG00000006494,chr7:11263165-11263460 (-567906); chr7:11217040-11217506 (-521866),1,0,0,100,108,143,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A9840994%2D9873652
atp1a3a,ENSDARG00000018259,chr19:7368612-7368907 (-360925); chr19:6827168-6827463 (+180519),129,0,123,17293,20932,22628,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A6328234%2D6385594
atp6v0cb,ENSDARG00000036577,chr24:40351777-40352072 (-382359);,29168,0,19,1401,1702,1833,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A39158283%2D39175750
b3gat2,ENSDARG00000030733,chr13:28023062-28024447 (-151535); chr13:28025719-28027671 (-148595),2,0,2,247,274,180,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A27951688%2D28009574
barhl2,ENSDARG00000104361,chr6:20321058-20321353 (-708943); chr6:20800564-20801054 (-229340); chr6:20810303-20810955 (-219520); chr6:20837024-20837345 (-192964); chr6:20842127-20842424 (-187873); chr6:21310551-21310871 (+280562),7,0,6,1222,1279,1488,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A24817852%2D24821681
calcr,ENSDARG00000028845,chr19:41457110-41457405 (+287926);,22831,0,5,81,65,95,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A40716975%2D40826024
cbln2b,ENSDARG00000077151,chr24:16063202-16063670 (-511297); chr24:16006117-16006466 (-454153); chr24:15792632-15792983 (-240669),0,0,1,106,71,114,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A15642577%2D15648878
ccnt2b,ENSDARG00000036510,chr22:12180854-12181150 (-91618);,29791,0,108,1773,1961,2000,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A12161738%2D12177012
cct3,ENSDARG00000016173,chr16:32511293-32511913 (+213155); chr16:32507508-32507804 (+217102); chr16:32400129-32400520 (+324433),45,0,199,3718,4103,4880,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A30408697%2D30421275
chrnb3a,ENSDARG00000052764,chr1:20824646-20826353 (+360636);,11249,0,1,123,183,234,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A22388799%2D22412042
cse1l,ENSDARG00000006963,chr11:5094419-5094758 (-459271); chr11:5192820-5193198 (-360851); chr11:5269240-5269535 (-284472),19,0,105,2245,2464,2659,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A5468629%2D5493191
cyp1d1,ENSDARG00000035569,chr5:27307011-27307306 (-41290);,5126,0,0,96,120,132,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A25603761%2D25621386
dbx1a,ENSDARG00000086393,chr7:17483966-17484317 (+319104);,3476,0,0,316,540,604,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A17024602%2D17028015
eif3ha,ENSDARG00000102452,chr16:51573744-51574224 (+30841); chr16:51421039-51421379 (+183616); chr16:51038666-51038972 (+566006),3,0,64,972,1213,1095,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A48282321%2D48400639
epha4b,ENSDARG00000011600,chr2:40322789-40323084 (+241038); chr2:40384858-40385197 (+303129); chr2:40486370-40486666 (+404619),0,0,14,824,1071,1052,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A40294313%2D40514151
fgf20a,ENSDARG00000007356,chr1:14750035-14750331 (+386092); chr1:14745879-14746202 (+390234); chr1:14550792-14551088 (+585335); chr1:14525393-14525743 (+610707); chr1:14277645-14278040 (+858432); chr1:14222435-14224409 (+912853),0,0,0,86,86,64,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A16393077%2D16394814
foxn4,ENSDARG00000010591,chr5:20877491-20877796 (+305848);,4922,0,44,1609,1538,1959,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A19385503%2D19400166
fzd3a,ENSDARG00000021664,chr20:35160699-35161141 (+109848);,15304,0,173,6361,7436,8153,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A35208855%2D35246150
g2e3,ENSDARG00000001313,chr17:29130154-29131236 (-259985); chr17:29120767-29121062 (-250205),1,0,11,537,489,601,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A28798725%2D28811747
gabra5,ENSDARG00000070730,chr6:38058524-38058846 (+290727); chr6:37962728-37963095 (+386500),3,0,5,83,117,163,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A38366936%2D38426942
